shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
T_am_2018,38.540041,-121.746063,1
T_am_2018,38.540055,-121.746065,2
T_am_2018,38.540152,-121.745794,3
T_am_2018,38.540962,-121.746022,4
T_am_2018,38.541186,-121.744818,5
T_am_2018,38.541495,-121.743245,6
T_am_2018,38.541753,-121.741672,7
T_am_2018,38.54193,-121.74074,8
T_am_2018,38.541899,-121.740688,9
T_am_2018,38.5418,-121.740509,10
T_am_2018,38.541652,-121.74023,11
T_am_2018,38.541516,-121.739932,12
T_am_2018,38.541232,-121.739447,13
T_am_2018,38.541075,-121.739168,14
T_am_2018,38.540887,-121.738797,15
T_am_2018,38.540636,-121.738359,16
T_am_2018,38.540477,-121.737977,17
T_am_2018,38.540431,-121.737746,18
T_am_2018,38.540372,-121.737484,19
T_am_2018,38.540332,-121.737319,20
T_am_2018,38.540253,-121.736882,21
T_am_2018,38.540095,-121.736087,22
T_am_2018,38.53996,-121.735457,23
T_am_2018,38.53985,-121.734815,24
T_am_2018,38.539776,-121.734354,25
T_am_2018,38.539737,-121.733851,26
T_am_2018,38.539764,-121.732872,27
T_am_2018,38.539797,-121.732274,28
T_am_2018,38.539813,-121.731772,29
T_am_2018,38.539927,-121.730814,30
T_am_2018,38.539966,-121.730087,31
T_am_2018,38.539958,-121.729575,32
T_am_2018,38.53991,-121.728667,33
T_am_2018,38.53988,-121.727939,34
T_am_2018,38.539853,-121.727354,35
T_am_2018,38.539815,-121.726916,36
T_am_2018,38.539814,-121.72646,37
T_am_2018,38.539826,-121.725699,38
T_am_2018,38.539884,-121.725318,39
T_am_2018,38.539998,-121.724776,40
T_am_2018,38.540296,-121.724006,41
T_am_2018,38.540575,-121.723585,42
T_am_2018,38.540896,-121.723266,43
T_am_2018,38.541031,-121.723093,44
T_am_2018,38.541106,-121.722931,45
T_am_2018,38.541207,-121.722703,46
T_am_2018,38.541234,-121.722416,47
T_am_2018,38.541212,-121.722249,48
T_am_2018,38.541207,-121.722121,49
T_am_2018,38.541219,-121.721355,50
T_am_2018,38.541268,-121.720391,51
T_am_2018,38.541355,-121.719265,52
T_am_2018,38.541408,-121.718495,53
T_am_2018,38.541534,-121.71782,54
T_am_2018,38.541839,-121.717175,55
T_am_2018,38.542188,-121.716729,56
T_am_2018,38.54269,-121.716166,57
T_am_2018,38.542967,-121.71569,58
T_am_2018,38.543209,-121.715091,59
T_am_2018,38.543333,-121.714532,60
T_am_2018,38.543377,-121.713999,61
T_am_2018,38.543395,-121.713628,62
T_am_2018,38.543488,-121.713389,63
T_am_2018,38.543602,-121.713375,64
T_am_2018,38.543715,-121.71337,65
T_am_2018,38.544432,-121.713324,66
T_am_2018,38.545274,-121.713346,67
T_am_2018,38.545925,-121.713313,68
T_am_2018,38.546579,-121.713343,69
T_am_2018,38.547006,-121.713249,70
T_am_2018,38.547374,-121.713089,71
T_am_2018,38.547469,-121.713026,72
T_am_2018,38.547502,-121.712979,73
T_am_2018,38.54752,-121.712898,74
T_am_2018,38.5475,-121.712861,75
T_am_2018,38.547478,-121.712783,76
T_am_2018,38.547391,-121.712383,77
T_am_2018,38.547293,-121.711821,78
T_am_2018,38.547308,-121.711458,79
T_am_2018,38.547383,-121.710972,80
T_am_2018,38.547487,-121.710467,81
T_am_2018,38.547643,-121.709858,82
T_am_2018,38.547754,-121.70933,83
T_am_2018,38.547796,-121.708677,84
T_am_2018,38.547809,-121.708326,85
T_am_2018,38.547743,-121.707814,86
T_am_2018,38.547686,-121.707408,87
T_am_2018,38.547579,-121.706778,88
T_am_2018,38.547498,-121.706262,89
T_am_2018,38.547447,-121.705884,90
T_am_2018,38.547398,-121.7054,91
T_am_2018,38.547415,-121.704915,92
T_am_2018,38.547526,-121.704367,93
T_am_2018,38.547711,-121.70384,94
T_am_2018,38.547887,-121.703489,95
T_am_2018,38.548024,-121.703193,96
T_am_2018,38.548139,-121.702783,97
T_am_2018,38.548174,-121.702605,98
T_am_2018,38.548217,-121.702219,99
T_am_2018,38.548216,-121.701932,100
T_am_2018,38.548208,-121.701423,101
T_am_2018,38.548177,-121.700978,102
T_am_2018,38.548053,-121.700497,103
T_am_2018,38.547973,-121.700303,104
T_am_2018,38.547857,-121.699938,105
T_am_2018,38.547847,-121.69982,106
T_am_2018,38.547848,-121.69929,107
T_am_2018,38.547839,-121.698963,108
T_am_2018,38.547838,-121.698675,109
T_am_2018,38.547826,-121.698214,110
T_am_2018,38.547826,-121.697792,111
T_am_2018,38.547865,-121.697378,112
T_am_2018,38.547955,-121.696998,113
T_am_2018,38.548027,-121.696769,114
T_am_2018,38.548179,-121.696426,115
T_am_2018,38.548358,-121.696056,116
T_am_2018,38.548474,-121.695843,117
T_am_2018,38.548565,-121.695638,118
T_am_2018,38.548639,-121.69546,119
T_am_2018,38.548683,-121.695313,120
T_am_2018,38.548703,-121.695203,121
T_am_2018,38.548735,-121.695054,122
T_am_2018,38.548776,-121.694847,123
T_am_2018,38.548785,-121.694608,124
T_am_2018,38.548759,-121.693953,125
T_am_2018,38.548723,-121.693459,126
T_am_2018,38.548694,-121.69301,127
T_am_2018,38.548694,-121.69213,128
T_am_2018,38.548731,-121.691095,129
T_am_2018,38.548794,-121.690365,130
T_am_2018,38.548935,-121.689923,131
T_am_2018,38.549074,-121.689568,132
T_am_2018,38.549171,-121.689343,133
T_am_2018,38.549247,-121.689192,134
T_am_2018,38.549526,-121.688306,135
T_am_2018,38.549554,-121.68812,136
T_am_2018,38.549574,-121.687435,137
T_am_2018,38.549581,-121.687092,138
T_am_2018,38.549564,-121.686508,139
T_am_2018,38.549573,-121.68631,140
T_am_2018,38.549566,-121.685762,141
T_am_2018,38.54958,-121.685507,142
T_am_2018,38.549566,-121.684986,143
T_am_2018,38.549572,-121.684484,144
T_am_2018,38.549567,-121.684156,145
T_am_2018,38.549584,-121.683893,146
T_am_2018,38.549586,-121.683823,147
T_am_2018,38.549634,-121.683687,148
T_am_2018,38.549708,-121.683614,149
T_am_2018,38.549794,-121.683608,150
T_am_2018,38.55015,-121.683597,151
T_am_2018,38.550627,-121.683607,152
T_am_2018,38.550913,-121.683678,153
T_am_2018,38.551136,-121.683789,154
T_am_2018,38.5514,-121.683894,155
T_am_2018,38.551743,-121.683906,156
T_am_2018,38.552074,-121.683905,157
T_am_2018,38.552235,-121.683922,158
T_am_2018,38.552329,-121.68402,159
T_am_2018,38.552348,-121.684197,160
T_am_2018,38.552369,-121.68468,161
T_am_2018,38.552372,-121.685119,162
T_am_2018,38.552385,-121.685565,163
T_am_2018,38.552385,-121.686194,164
T_am_2018,38.552378,-121.686734,165
T_am_2018,38.552394,-121.687361,166
T_am_2018,38.552391,-121.687798,167
T_am_2018,38.552364,-121.688236,168
T_am_2018,38.552319,-121.688582,169
T_am_2018,38.552223,-121.689003,170
T_am_2018,38.552071,-121.689481,171
T_am_2018,38.551849,-121.689924,172
T_am_2018,38.551701,-121.690195,173
T_am_2018,38.551567,-121.690424,174
T_am_2018,38.551424,-121.69065,175
T_am_2018,38.551245,-121.690955,176
T_am_2018,38.551193,-121.691053,177
T_am_2018,38.551203,-121.691127,178
T_am_2018,38.551245,-121.691197,179
T_am_2018,38.551356,-121.691306,180
T_am_2018,38.551804,-121.691758,181
T_am_2018,38.551884,-121.691842,182
T_am_2018,38.551877,-121.691937,183
T_am_2018,38.551844,-121.692037,184
T_am_2018,38.551619,-121.692415,185
T_am_2018,38.551501,-121.692597,186
T_am_2018,38.551341,-121.692841,187
T_am_2018,38.551112,-121.693225,188
T_am_2018,38.55086,-121.693651,189
T_am_2018,38.550746,-121.693873,190
T_am_2018,38.550676,-121.694008,191
T_am_2018,38.550663,-121.69413,192
T_am_2018,38.550675,-121.694194,193
T_am_2018,38.550703,-121.694254,194
T_am_2018,38.550735,-121.694284,195
T_am_2018,38.551295,-121.694361,196
T_am_2018,38.551811,-121.694349,197
T_am_2018,38.552429,-121.694344,198
T_am_2018,38.552949,-121.69434,199
T_am_2018,38.553624,-121.694299,200
T_am_2018,38.554138,-121.694266,201
T_am_2018,38.554674,-121.694238,202
T_am_2018,38.55529,-121.694169,203
T_am_2018,38.555911,-121.694135,204
