trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
A_31_outbound_0655,06:55:00,06:55:00,22258,1,1
A_31_outbound_0655,,,22169,2,0
A_31_outbound_0655,,,22000,3,0
A_31_outbound_0655,,,22005,4,0
A_31_outbound_0655,,,22007,5,0
A_31_outbound_0655,07:02:00,07:02:00,22011,6,1
A_31_outbound_0655,,,22031,7,0
A_31_outbound_0655,,,22033,8,0
A_31_outbound_0655,,,22076,9,0
A_31_outbound_0655,,,22075,10,0
A_31_outbound_0655,07:09:00,07:09:00,22073,11,1
A_31_outbound_0655,,,22234,12,0
A_31_outbound_0655,,,22237,13,0
A_31_outbound_0655,,,22070,14,0
A_31_outbound_0655,,,22300,15,0
A_31_outbound_0655,,,22067,16,0
A_31_outbound_0655,,,22235,17,0
A_31_outbound_0655,07:14:00,07:14:00,22066,18,1
A_31_outbound_0655,,,22243,19,0
A_31_outbound_0655,,,22061,20,0
A_31_outbound_0655,07:18:00,07:18:00,22062,21,1
A_35_outbound_0655,06:55:00,06:55:00,22258,1,1
A_35_outbound_0655,,,22169,2,0
A_35_outbound_0655,,,22000,3,0
A_35_outbound_0655,,,22005,4,0
A_35_outbound_0655,,,22007,5,0
A_35_outbound_0655,07:02:00,07:02:00,22011,6,1
A_35_outbound_0655,,,22031,7,0
A_35_outbound_0655,,,22033,8,0
A_35_outbound_0655,,,22076,9,0
A_35_outbound_0655,,,22075,10,0
A_35_outbound_0655,07:09:00,07:09:00,22073,11,1
A_35_outbound_0655,,,22234,12,0
A_35_outbound_0655,,,22237,13,0
A_35_outbound_0655,,,22070,14,0
A_35_outbound_0655,,,22300,15,0
A_35_outbound_0655,,,22067,16,0
A_35_outbound_0655,,,22235,17,0
A_35_outbound_0655,07:14:00,07:14:00,22066,18,1
A_35_outbound_0655,,,22243,19,0
A_35_outbound_0655,,,22061,20,0
A_35_outbound_0655,07:18:00,07:18:00,22062,21,1
A_31_outbound_0755,07:55:00,07:55:00,22258,1,1
A_31_outbound_0755,,,22169,2,0
A_31_outbound_0755,,,22000,3,0
A_31_outbound_0755,,,22005,4,0
A_31_outbound_0755,,,22007,5,0
A_31_outbound_0755,08:02:00,08:02:00,22011,6,1
A_31_outbound_0755,,,22031,7,0
A_31_outbound_0755,,,22033,8,0
A_31_outbound_0755,,,22076,9,0
A_31_outbound_0755,,,22075,10,0
A_31_outbound_0755,08:09:00,08:09:00,22073,11,1
A_31_outbound_0755,,,22234,12,0
A_31_outbound_0755,,,22237,13,0
A_31_outbound_0755,,,22070,14,0
A_31_outbound_0755,,,22300,15,0
A_31_outbound_0755,,,22067,16,0
A_31_outbound_0755,,,22235,17,0
A_31_outbound_0755,08:14:00,08:14:00,22066,18,1
A_31_outbound_0755,,,22243,19,0
A_31_outbound_0755,,,22061,20,0
A_31_outbound_0755,08:18:00,08:18:00,22062,21,1
A_35_outbound_0755,07:55:00,07:55:00,22258,1,1
A_35_outbound_0755,,,22169,2,0
A_35_outbound_0755,,,22000,3,0
A_35_outbound_0755,,,22005,4,0
A_35_outbound_0755,,,22007,5,0
A_35_outbound_0755,08:02:00,08:02:00,22011,6,1
A_35_outbound_0755,,,22031,7,0
A_35_outbound_0755,,,22033,8,0
A_35_outbound_0755,,,22076,9,0
A_35_outbound_0755,,,22075,10,0
A_35_outbound_0755,08:09:00,08:09:00,22073,11,1
A_35_outbound_0755,,,22234,12,0
A_35_outbound_0755,,,22237,13,0
A_35_outbound_0755,,,22070,14,0
A_35_outbound_0755,,,22300,15,0
A_35_outbound_0755,,,22067,16,0
A_35_outbound_0755,,,22235,17,0
A_35_outbound_0755,08:14:00,08:14:00,22066,18,1
A_35_outbound_0755,,,22243,19,0
A_35_outbound_0755,,,22061,20,0
A_35_outbound_0755,08:18:00,08:18:00,22062,21,1
A_31_outbound_0900,09:00:00,09:00:00,22258,1,1
A_31_outbound_0900,,,22169,2,0
A_31_outbound_0900,,,22000,3,0
A_31_outbound_0900,,,22005,4,0
A_31_outbound_0900,,,22007,5,0
A_31_outbound_0900,09:07:00,09:07:00,22011,6,1
A_31_outbound_0900,,,22031,7,0
A_31_outbound_0900,,,22033,8,0
A_31_outbound_0900,,,22076,9,0
A_31_outbound_0900,,,22075,10,0
A_31_outbound_0900,09:14:00,09:14:00,22073,11,1
A_31_outbound_0900,,,22234,12,0
A_31_outbound_0900,,,22237,13,0
A_31_outbound_0900,,,22070,14,0
A_31_outbound_0900,,,22300,15,0
A_31_outbound_0900,,,22067,16,0
A_31_outbound_0900,,,22235,17,0
A_31_outbound_0900,09:19:00,09:19:00,22066,18,1
A_31_outbound_0900,,,22243,19,0
A_31_outbound_0900,,,22061,20,0
A_31_outbound_0900,09:23:00,09:23:00,22062,21,1
A_35_outbound_0900,09:00:00,09:00:00,22258,1,1
A_35_outbound_0900,,,22169,2,0
A_35_outbound_0900,,,22000,3,0
A_35_outbound_0900,,,22005,4,0
A_35_outbound_0900,,,22007,5,0
A_35_outbound_0900,09:07:00,09:07:00,22011,6,1
A_35_outbound_0900,,,22031,7,0
A_35_outbound_0900,,,22033,8,0
A_35_outbound_0900,,,22076,9,0
A_35_outbound_0900,,,22075,10,0
A_35_outbound_0900,09:14:00,09:14:00,22073,11,1
A_35_outbound_0900,,,22234,12,0
A_35_outbound_0900,,,22237,13,0
A_35_outbound_0900,,,22070,14,0
A_35_outbound_0900,,,22300,15,0
A_35_outbound_0900,,,22067,16,0
A_35_outbound_0900,,,22235,17,0
A_35_outbound_0900,09:19:00,09:19:00,22066,18,1
A_35_outbound_0900,,,22243,19,0
A_35_outbound_0900,,,22061,20,0
A_35_outbound_0900,09:23:00,09:23:00,22062,21,1
A_31_outbound_1000,10:00:00,10:00:00,22258,1,1
A_31_outbound_1000,,,22169,2,0
A_31_outbound_1000,,,22000,3,0
A_31_outbound_1000,,,22005,4,0
A_31_outbound_1000,,,22007,5,0
A_31_outbound_1000,10:07:00,10:07:00,22011,6,1
A_31_outbound_1000,,,22031,7,0
A_31_outbound_1000,,,22033,8,0
A_31_outbound_1000,,,22076,9,0
A_31_outbound_1000,,,22075,10,0
A_31_outbound_1000,10:14:00,10:14:00,22073,11,1
A_31_outbound_1000,,,22234,12,0
A_31_outbound_1000,,,22237,13,0
A_31_outbound_1000,,,22070,14,0
A_31_outbound_1000,,,22300,15,0
A_31_outbound_1000,,,22067,16,0
A_31_outbound_1000,,,22235,17,0
A_31_outbound_1000,10:19:00,10:19:00,22066,18,1
A_31_outbound_1000,,,22243,19,0
A_31_outbound_1000,,,22061,20,0
A_31_outbound_1000,10:23:00,10:23:00,22062,21,1
A_35_outbound_1000,10:00:00,10:00:00,22258,1,1
A_35_outbound_1000,,,22169,2,0
A_35_outbound_1000,,,22000,3,0
A_35_outbound_1000,,,22005,4,0
A_35_outbound_1000,,,22007,5,0
A_35_outbound_1000,10:07:00,10:07:00,22011,6,1
A_35_outbound_1000,,,22031,7,0
