stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
22000,22000,Hutchison Drive & Old Davis Road (EB),Buses head EB,38.540031,-121.746053,0
22001,22001,Hutchison Drive & Old Davis Road (WB),Buses head WB,38.540158,-121.746139,0
22002,22002,1st St & C St / Downtown (EB),Buses head EB,38.541523,-121.742543,0
22003,22003,1st St & D St / Downtown (WB),Buses head WB,38.541818,-121.742051,0
22004,22004,Richards Blvd & Olive Drive (SB),Buses head SB,38.540645,-121.738537,0
22005,22005,2nd St & B St (EB),Buses head EB,38.542661,-121.743914,0
22006,22006,C St & 1st St (SB),Buses head SB,38.541913,-121.743090,0
22007,22007,2nd St & E St (EB),Buses head EB,38.543139,-121.741185,0
22009,22009,2nd St & E St (WB),Buses head WB,38.543330,-121.740930,0
22010,22010,F St & 6th St/Davis Food Co-op (SB),Buses head SB,38.548390,-121.741446,0
22011,22011,H St & 2nd St / Amtrak (NB),Buses head NB,38.543988,-121.738023,0
22012,22012,H St & 2nd St / Amtrak (SB),Buses head SB,38.543941,-121.738245,0
22013,22013,B St & 4th St / Central Park (NB),Buses head NB,38.544903,-121.744870,0
22014,22014,B St & 4th St / Central Park (SB),Buses head SB,38.545045,-121.745131,0
22015,22015,3rd St & C St (WB),Buses head WB,38.544213,-121.743911,0
22016,22016,3rd St & C St (EB),Buses head EB,38.544133,-121.743222,0
22017,22017,3rd St & E St (WB),Buses head WB,38.544550,-121.741693,0
22018,22018,3rd St & E St (EB),Buses head EB,38.544507,-121.741143,0
22019,22019,F St & 4th St  (SB),Buses head SB,38.545691,-121.740698,0
22020,22020,F St & 4th St  (NB),Buses head NB,38.546296,-121.740677,0
22021,22021,Russell Blvd & A Street/City Hall (WB),Buses head WB,38.546382,-121.746873,0
22022,22022,B St & 5th St (NB),Buses head NB,38.547003,-121.745445,0
22023,22023,B St & 7th St (SB),Buses head SB,38.548927,-121.746168,0
22024,22024,B St & 7th St (NB),Buses head NB,38.549654,-121.746057,0
22025,22025,5th Street & D Street / Downtown (EB),Buses head EB,38.546886,-121.742982,0
22026,22026,5th Street & D Street / Downtown (WB),Buses head WB,38.546951,-121.743576,0
22027,22027,F St & 6th Street/Davis Food Co-op (NB),Buses head NB,38.548795,-121.741430,0
22028,22028,5th St & G St (EB),Buses head EB,38.547395,-121.739607,0
22029,22029,5th St & I St (WB),Buses head WB,38.547933,-121.737895,0
22030,22030,3rd St & K St (WB),Buses head WB,38.545749,-121.735093,0
22031,22031,3rd St & K St (EB),Buses head EB,38.545644,-121.734501,0
22032,22032,L St & 425 (SB),Buses head SB,38.547739,-121.734336,0
22033,22033,L St & 4th St (NB),Buses head NB,38.547423,-121.734054,0
22034,22034,Cowell Blvd & Research Park Drive (WB),Buses head WB,38.540122,-121.730212,0
22035,22035,Cowell Blvd & Research Park Drive (EB),Buses head EB,38.539843,-121.730809,0
22036,22036,Cowell Blvd & Drew Ave/Kaiser (WB),Buses head WB,38.540044,-121.727536,0
22037,22037,Cowell Blvd & Drew Ave/Kaiser (EB),Buses head EB,38.539742,-121.726847,0
22038,22038,Cowell Blvd & Valdora Street/Safeway (WB),Buses head WB,38.540116,-121.725093,0
22039,22039,Pole Line Rd & Cowell Blvd (SB),Buses head SB,38.542589,-121.725190,0
22040,22040,Pole Line Rd & Cowell Blvd (NB),Buses head NB,38.542210,-121.724375,0
22041,22041,Cowell Blvd & Valdora St (EB),Buses head EB,38.540227,-121.723985,0
22042,22042,Lillard Drive & Farragut Circle (WB),Buses head WB,38.541360,-121.720724,0
22043,22043,Lillard Drive & Evans Court (WB),Buses head WB,38.541782,-121.717580,0
22045,22045,Cowell Blvd & Halsey Circle (WB),Buses head WB,38.543240,-121.722534,0
22046,22046,Drummond Ave & Lillard Drive (SB),Buses head SB,38.543707,-121.713573,0
22047,22047,Drummond Ave & Cowell (SB),Buses head SB,38.547133,-121.713367,0
22048,22048,Cowell Blvd & Drummond Avenue (EB),Buses head EB,38.547353,-121.712628,0
